timestamp,entry_idx,exit_idx,type,entry_price,stop_loss,take_profit,exit_price,hit_sl,hit_tp,profit_loss
41462,41462,8,BUY,0.91527,0.91401,0.9160172565848237,0.91401,True,False,-0.0012600000000000389
41463,41463,49,BUY,0.91485,0.9130500000000001,0.9161291193372735,0.9130500000000001,True,False,-0.0017999999999999128
41464,41464,28,BUY,0.91489,0.9131799999999999,0.9161930964852194,0.9131799999999999,True,False,-0.0017100000000001003
41465,41465,49,BUY,0.91466,0.9128149999999999,0.9162833195198364,0.9128149999999999,True,False,-0.0018450000000000966
41466,41466,224,BUY,0.91449,0.9121799999999999,0.9163646322952017,0.9121799999999999,True,False,-0.0023100000000001453
41471,41471,274,BUY,0.91403,0.911195,0.916247964972987,0.911195,True,False,-0.002835000000000032
41513,41513,68,BUY,0.91299,0.91164,0.9137527216992835,0.9137527216992835,False,True,0.0007627216992834862
41514,41514,67,BUY,0.91286,0.911585,0.9137899383119681,0.9137899383119681,False,True,0.0009299383119680815
41515,41515,67,BUY,0.91275,0.9114599999999999,0.9138175602927424,0.9138175602927424,False,True,0.0010675602927424643
41746,41746,187,BUY,0.91117,0.91009,0.9120210276882983,0.91009,True,False,-0.001080000000000081
41747,41747,186,BUY,0.91114,0.9100149999999999,0.9120263173090256,0.9100149999999999,True,False,-0.0011250000000000426
41748,41748,185,BUY,0.91112,0.9099349999999999,0.9120080186888666,0.9099349999999999,True,False,-0.0011850000000001026
41749,41749,187,BUY,0.91106,0.9097999999999999,0.9119810293037133,0.9097999999999999,True,False,-0.0012600000000000389
41771,41771,84,BUY,0.91031,0.9086299999999999,0.9116360858127507,0.9116360858127507,False,True,0.0013260858127507325
41849,41849,87,SELL,0.91141,0.9122350000000001,0.9097599999999999,0.9097599999999999,False,True,0.0016500000000001513
41856,41856,80,SELL,0.91172,0.9129799999999999,0.9092000000000001,0.9092000000000001,False,True,0.0025199999999998557
41857,41857,89,SELL,0.91181,0.913205,0.90902,0.90902,False,True,0.002789999999999959
41898,41898,15,BUY,0.91137,0.9105,0.9118574379342006,0.9105,True,False,-0.0008700000000000374
41901,41901,35,BUY,0.91103,0.9097999999999999,0.9119277335869392,0.9097999999999999,True,False,-0.0012300000000000644
41903,41903,33,BUY,0.91092,0.9096149999999998,0.9119694340122552,0.9096149999999998,True,False,-0.0013050000000001116
41937,41937,132,BUY,0.9092,0.906605,0.9112018217009115,0.9112018217009115,False,True,0.0020018217009114547
41947,41947,35,BUY,0.90878,0.9058550000000001,0.9106558295644767,0.9106558295644767,False,True,0.0018758295644766276
42008,42008,29,BUY,0.90927,0.907875,0.9103889429774789,0.9103889429774789,False,True,0.0011189429774788318
42039,42039,150,SELL,0.9105,0.912315,0.9068699999999998,0.9068699999999998,False,True,0.003630000000000133
42089,42089,101,BUY,0.90937,0.90658,0.9114106111395275,0.90658,True,False,-0.002789999999999959
42149,42149,41,BUY,0.90815,0.9066350000000001,0.9093409787711302,0.9066350000000001,True,False,-0.001514999999999933
42189,42189,1,BUY,0.9075,0.9061349999999999,0.9086251887609017,0.9061349999999999,True,False,-0.0013650000000000606
42190,42190,43,BUY,0.90694,0.9046,0.9087585457745405,0.9046,True,False,-0.0023400000000000087
42191,42191,82,BUY,0.90603,0.90303,0.9090505187233225,0.90303,True,False,-0.0030000000000000027
42192,42192,81,BUY,0.90623,0.90323,0.9091260939760124,0.90323,True,False,-0.0030000000000000027
42193,42193,80,BUY,0.90608,0.90308,0.9091990491446652,0.90308,True,False,-0.0030000000000000027
42238,42238,76,BUY,0.90418,0.9022600000000001,0.9057267165238607,0.9022600000000001,True,False,-0.0019199999999999218
42275,42275,83,BUY,0.90293,0.89993,0.9053991110372692,0.9053991110372692,False,True,0.0024691110372692116
42306,42306,32,BUY,0.90252,0.9005399999999999,0.9038260703857546,0.9038260703857546,False,True,0.0013060703857545874
42394,42394,128,BUY,0.90423,0.9025200000000001,0.9052878392345264,0.9052878392345264,False,True,0.0010578392345264032
42684,42684,40,BUY,0.9067,0.9053499999999999,0.9076451426774728,0.9053499999999999,True,False,-0.0013500000000000734
42685,42685,132,BUY,0.90669,0.90522,0.9076911910980642,0.90522,True,False,-0.0014699999999999713
42725,42725,27,BUY,0.90545,0.903875,0.906712181916148,0.906712181916148,False,True,0.0012621819161480197
42814,42814,185,BUY,0.90606,0.9044249999999999,0.9072378920189895,0.9072378920189895,False,True,0.0011778920189895459
42815,42815,184,BUY,0.90583,0.9037000000000001,0.9073272045213729,0.9073272045213729,False,True,0.001497204521372919
42817,42817,208,BUY,0.90559,0.9031899999999999,0.907468328532454,0.907468328532454,False,True,0.0018783285324539545
