2025-03-23 16:42:26,634 - INFO - Trade Executed: {'entry_idx': 701, 'exit_idx': 67, 'type': 'BUY', 'entry_price': 0.89861, 'stop_loss': 0.8958950000000001, 'take_profit': 0.9006917292108669, 'exit_price': 0.8958950000000001, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.002714999999999912}
2025-03-23 16:42:26,677 - INFO - Trade Executed: {'entry_idx': 702, 'exit_idx': 70, 'type': 'BUY', 'entry_price': 0.89833, 'stop_loss': 0.89533, 'take_profit': 0.9008111677509618, 'exit_price': 0.89533, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0030000000000000027}
2025-03-23 16:42:26,713 - INFO - Trade Executed: {'entry_idx': 755, 'exit_idx': 55, 'type': 'BUY', 'entry_price': 0.8965, 'stop_loss': 0.8947, 'take_profit': 0.8978038559927095, 'exit_price': 0.8947, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0017999999999999128}
2025-03-23 16:42:26,751 - INFO - Trade Executed: {'entry_idx': 756, 'exit_idx': 56, 'type': 'BUY', 'entry_price': 0.89636, 'stop_loss': 0.894515, 'take_profit': 0.8978546724503617, 'exit_price': 0.894515, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0018450000000000966}
2025-03-23 16:42:26,801 - INFO - Trade Executed: {'entry_idx': 772, 'exit_idx': 252, 'type': 'BUY', 'entry_price': 0.89542, 'stop_loss': 0.8929, 'take_profit': 0.8972308309391392, 'exit_price': 0.8929, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0025199999999999667}
2025-03-23 16:42:26,846 - INFO - Trade Executed: {'entry_idx': 773, 'exit_idx': 276, 'type': 'BUY', 'entry_price': 0.89514, 'stop_loss': 0.892245, 'take_profit': 0.8972765062429088, 'exit_price': 0.892245, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.002895000000000092}
2025-03-23 16:42:26,889 - INFO - Trade Executed: {'entry_idx': 809, 'exit_idx': 214, 'type': 'BUY', 'entry_price': 0.89523, 'stop_loss': 0.8929349999999999, 'take_profit': 0.8966434157016094, 'exit_price': 0.8929349999999999, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.002295000000000047}
2025-03-23 16:42:26,933 - INFO - Trade Executed: {'entry_idx': 810, 'exit_idx': 239, 'type': 'BUY', 'entry_price': 0.89496, 'stop_loss': 0.8922749999999999, 'take_profit': 0.8967284977297778, 'exit_price': 0.8922749999999999, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0026850000000000485}
2025-03-23 16:42:26,977 - INFO - Trade Executed: {'entry_idx': 811, 'exit_idx': 238, 'type': 'BUY', 'entry_price': 0.89483, 'stop_loss': 0.8920699999999999, 'take_profit': 0.8968012472036736, 'exit_price': 0.8920699999999999, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0027600000000000957}
2025-03-23 16:42:27,027 - INFO - Trade Executed: {'entry_idx': 812, 'exit_idx': 237, 'type': 'BUY', 'entry_price': 0.89452, 'stop_loss': 0.8915649999999999, 'take_profit': 0.8968933728782473, 'exit_price': 0.8915649999999999, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.002955000000000041}
